Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Plot Area,Ready to move,Ramaswamy Palya Kammanahalli Main Road,4,Unknown Society,1200,4,0,210
Super built-up Area,Ready to move,Kudlu Gate,3,Srier P,1535,3,2,83
Built-up Area,Ready to move,Kanakpura Road,2,Wiowsri,950,2,1,57
Super built-up Area,Ready to move,Devanahalli,2,Derdsig,1360,2,1,65
Super built-up Area,Ready to move,8th Phase JP Nagar,2,Vaarech,1042,2,0,54
Super built-up Area,Ready to move,Bommasandra Industrial Area,3,Unknown Society,1280,3,1,50
Super built-up Area,Ready to move,Chandra Layout,3,TiaksAa,1260,2,2,85
Built-up Area,Ready to move,Hennur Road,8,Unknown Society,5000,8,1,250
Super built-up Area,Ready to move,Yelahanka,5,LedorSa,3050,5,1,213
Super built-up Area,Ready to move,Kasavanhalli,3,HMwerCo,1563.05,3,1,105
Super built-up Area,Ready to move,ISRO Layout,2,Unknown Society,1000,2,1,60
Super built-up Area,Ready to move,Anandapura,2,ViensRK,1167,2,1,43
Super built-up Area,Ready to move,Vishveshwarya Layout,7,Unknown Society,4000,7,2,225
Super built-up Area,Ready to move,Kothanur,3,Somumys,1828,3,1,110
Super built-up Area,Ready to move,Kengeri Satellite Town,2,HoiewLa,890,2,1,35
Super built-up Area,Ready to move,Basavanapura,3,Dwity T,1612,3,3,46
Plot Area,Ready to move,Dinnur,6,Unknown Society,1034,5,1,185
Super built-up Area,Ready to move,Mysore Road,3,Brama P,1710,4,2,91
Super built-up Area,Ready to move,Kannamangala,2,VBownre,957,2,1,58
Super built-up Area,Ready to move,Devarachikkanahalli,3,Unknown Society,1250,2,3,44
Super built-up Area,Ready to move,Sanjeevini Nagar,3,Betatsi,2795,4,1,235
Super built-up Area,Ready to move,Hulimavu,2,Prc an P,1125,2,2,50
Super built-up Area,Ready to move,Electronic City Phase II,2,Sryalan,1020,2,1,30
Super built-up Area,Ready to move,Kalena Agrahara,2,Unknown Society,1200,2,2,50
Super built-up Area,Ready to move,Thanisandra,3,Soitya,1735,3,3,135
Super built-up Area,Ready to move,Thanisandra,3,G conTh,2050,3,1,145
Plot Area,Ready to move,Mahalakshmi Layout,4,Unknown Society,3750,4,0,760
Built-up Area,Ready to move,Yarandahalli,3,Unknown Society,1350,2,3,48
Super built-up Area,Ready to move,Hosa Road,2,SStusan,1063,2,1,32
Super built-up Area,Ready to move,Keshava Nagar,3,ETens G,1904,3,1,150
Built-up Area,Ready to move,Whitefield,4,Unknown Society,4200,4,2,420
Super built-up Area,Ready to move,RMV Extension,3,Hohnari,2000,3,1,175
Super built-up Area,Ready to move,Sarjapur,2,Kinuerg,1145,2,0,43
Super built-up Area,Ready to move,Tejaswini Nagar,3,Naods W,1425,2,2,75
Super built-up Area,Ready to move,Electronic City,3,GMown E,1500,2,1,64
Built-up Area,Ready to move,Electronic City,2,GMown E,1060,2,1,60
Built-up Area,Ready to move,Jai Bheema Nagar,3,Sancyra,1470,2,2,70
Super built-up Area,Ready to move,Kothnur Narayanapura,6,Unknown Society,1300,6,0,99
Super built-up Area,Ready to move,Attibele,1,Jae 1hu,450,1,1,11
Super built-up Area,Ready to move,Electronic City,2,Prarkun,1152,2,1,64
Super built-up Area,Ready to move,Electronic City,3,GMown E,1350,2,1,56
Super built-up Area,Ready to move,CV Raman Nagar,3,Srshq T,1550,3,3,65
Plot Area,Ready to move,CHIKKATIRUPATHI,3,Unknown Society,1500,3,2,100
Plot Area,Ready to move,Kumaraswami Layout,5,Unknown Society,600,3,2,85
Plot Area,Ready to move,Nagavara,1,Unknown Society,400,1,0,14
Super built-up Area,Ready to move,Malleshwaram,1,Utntspa,705,1,2,67
Built-up Area,Ready to move,Electronic City,2,GMown E,770,1,1,36
Super built-up Area,Ready to move,Hulimavu,2,Aniona,1242,2,3,51
Super built-up Area,Ready to move,Hebbal Kempapura,3,Goateds,1700,3,2,155
Super built-up Area,Ready to move,Thanisandra,3,Soitya,2144,3,2,145
Super built-up Area,Ready to move,Vijayanagar,3,Saahaat,1704,3,2,110
Super built-up Area,Ready to move,Electronic City,2,GMown E,1070,2,1,52
Plot Area,Ready to move,8th block Koramangala,3,Unknown Society,1846,3,2,300
Super built-up Area,Ready to move,Jakkuru Layout,2,Unknown Society,1340,2,2,55
Built-up Area,Ready to move,Electronic City,2,GMown E,1025,2,1,46
Super built-up Area,Ready to move,KR Puram,2,MCvarar,1015,2,0,56
Super built-up Area,Ready to move,Marathahalli,2,VRave E,1200,2,2,52
Built-up Area,Ready to move,Kanakpura Road,4,Unknown Society,2250,4,1,110
Super built-up Area,Ready to move,Pattandur Agrahara,3,MaidoPl,1550,2,3,80
Plot Area,Ready to move,Bellandur,4,Unknown Society,1200,5,1,325
Plot Area,Ready to move,Ejipura,7,Unknown Society,1800,7,1,250
Super built-up Area,Ready to move,Marathahalli,2,Aiitya,1200,2,2,60
Super built-up Area,Ready to move,Yelahanka,2,PuziaVe,1327,2,2,98
Super built-up Area,Ready to move,Kothanur,2,Unknown Society,1186,2,2,58
Built-up Area,Ready to move,MS Pallya,3,Unknown Society,1783,3,1,115
Super built-up Area,Ready to move,HSR Layout,3,NRosete,1400,3,2,56
Super built-up Area,Ready to move,Nagasandra,2,Unknown Society,980,2,1,48
Super built-up Area,Ready to move,EPIP Zone,2,Unknown Society,1285,2,2,82
Super built-up Area,Ready to move,Langford Town,3,Unknown Society,912,2,1,70
Built-up Area,Ready to move,Whitefield,2,Sancya,1225,2,2,47
Super built-up Area,Ready to move,Whitefield,2,Unknown Society,1075,2,1,53
Built-up Area,Ready to move,Kadugodi,3,MSingco,1260,2,2,54
Super built-up Area,Ready to move,Yelahanka,3,Pyikad,1282,2,2,48
Super built-up Area,Ready to move,Kogilu,3,CaIRSCr,1909,3,2,88
Super built-up Area,Ready to move,Panathur,2,Prcesvy,1359,2,1,87
Built-up Area,Ready to move,Nagondanahalli,2,Unknown Society,1207,2,2,43
Plot Area,Ready to move,Padmanabhanagar,4,Unknown Society,1736,6,0,190
Super built-up Area,Ready to move,1st Block Jayanagar,4,Unknown Society,2850,4,1,428
Super built-up Area,Ready to move,Kammasandra,3,Emstael,1595,3,2,65
Super built-up Area,Ready to move,Electronics City Phase 1,3,SNdri N,1475,3,2,78
Super built-up Area,Ready to move,Tala Cauvery Layout,3,Hodhi Sa,1580,3,3,100
Super built-up Area,Ready to move,Dasarahalli,2,Syonyph,1295,2,1,65
Built-up Area,Ready to move,Magadi Road,6,Unknown Society,3600,6,0,141
Super built-up Area,Ready to move,Electronic City,1,Itvir M,589,1,1,27
Super built-up Area,Ready to move,Ngef Layout,3,Unknown Society,1415,3,3,78
Super built-up Area,Ready to move,Sarjapur Road,3,Klark L,1787,3,2,98
Super built-up Area,Ready to move,Sarjapur Road,3,Klark L,1787,3,2,125
Super built-up Area,Ready to move,Koramangala,3,Piityra,1475,2,3,90
Super built-up Area,Ready to move,Sarjapur Road,2,AsastDe,984,2,1,44
Super built-up Area,Ready to move,Devanahalli,3,Jurdsig,1520,Unknown Society,1,74
Super built-up Area,Ready to move,Muthurayya Swamy Layout,3,MacleK,2405,4,2,260
Built-up Area,Ready to move,7th Phase JP Nagar,2,Brnia G,1080,2,2,72
Plot Area,Ready to move,Shantiniketan Layout,2,Unknown Society,1500,2,1,115
Super built-up Area,Ready to move,Hebbal,3,Unknown Society,1900,3,2,119
Super built-up Area,Ready to move,Dommasandra,2,Unknown Society,805,2,1,22
Super built-up Area,Ready to move,Budigere,2,PrityTr,1153,2,2,56
Super built-up Area,Ready to move,Dodda Nekkundi Extension,2,AlEcone,1148,2,2,60
Super built-up Area,Ready to move,Mylasandra,2,Laowsba,1110,2,2,55
Built-up Area,Ready to move,Electronic City,2,Saave R,1100,2,2,42
Super built-up Area,Ready to move,Kalyan nagar,2,Anave S,1290,2,2,110
Super built-up Area,Ready to move,Dr Shivarama Karantha Nagar,3,Unknown Society,1500,2,1,65
Super built-up Area,Ready to move,Bank Of Baroda Colony,2,Unknown Society,1080,2,2,39
Super built-up Area,Ready to move,Vijayanagar,3,Saityat,1933,3,1,129
Built-up Area,Ready to move,Ramamurthy Nagar,5,Unknown Society,3500,5,2,150
Built-up Area,Ready to move,Kullappa Colony,2,Unknown Society,1060,2,2,60
Super built-up Area,Ready to move,Chandapura,1,SunceEs,645,1,1,16
Plot Area,Ready to move,Mukkutam Nagar,8,Unknown Society,2600,8,2,180
Super built-up Area,Ready to move,Chandapura,1,SunceEs,645,1,1,16
Super built-up Area,Ready to move,Ashwath Nagar,3,SJcerpe,1644,3,3,84
Super built-up Area,Ready to move,Ncpr Industrial Layout,2,Supams,1285,2,3,72
Plot Area,Ready to move,Electronic City,3,Unknown Society,1200,3,1,90
Super built-up Area,Ready to move,Electronic City,2,CoapeSo,910,2,1,40
Super built-up Area,Ready to move,Kothanur,3,Bisic C,1577,3,1,70
Plot Area,Ready to move,Meenakunte,3,Sreat R,4050,3,2,280
Super built-up Area,Ready to move,OMBR Layout,3,Inntsa,2420,3,2,185
Super built-up Area,Ready to move,Chandapura,2,KHityry,800,1,1,20
Built-up Area,Ready to move,Anand Nagar,2,Unknown Society,1060,2,2,55
Super built-up Area,Ready to move,7th Phase JP Nagar,2,BriumMi,1270,2,2,93
Super built-up Area,Ready to move,Shree Ananth Nagar Layout,2,Unknown Society,900,2,2,22
Built-up Area,Ready to move,Kundalahalli Colony,2,Unknown Society,1280,2,1,69
Plot Area,Ready to move,Horamavu Agara,4,Unknown Society,1200,2,0,95
Built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1025,2,2,36
Super built-up Area,Ready to move,Electronic City,2,Prarkun,1108,2,1,63
Plot Area,Ready to move,MCECHS layout,5,Unknown Society,1200,5,1,170
Super built-up Area,Ready to move,Coffee Board Layout,3,Calyxy,3045,3,2,170
Plot Area,Ready to move,Ambedkar Nagar,4,Thessrm,2900,3,2,300
Super built-up Area,Ready to move,Vijayanagar,3,JJortom,1500,3,2,75
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,43
Super built-up Area,Ready to move,Budigere,2,PrityTr,1162,2,1,59
Super built-up Area,Ready to move,Sarjapur Road,2,Usquaya,1035,2,2,49
Built-up Area,Ready to move,Attibele,4,Natic T,1600,4,0,52
Super built-up Area,Ready to move,KUDLU MAIN ROAD,3,Unknown Society,1464,3,2,46
Super built-up Area,Ready to move,Hennur Road,3,DSapeSk,1866,2,2,61
Super built-up Area,Ready to move,Geleyara Balaga Layout,2,Jahtsa,700,1,1,26
Super built-up Area,Ready to move,Kalena Agrahara,3,Prillot,1804,3,2,120
Super built-up Area,Ready to move,Sarjapur,2,Unknown Society,913,2,1,32
Super built-up Area,Ready to move,Talaghattapura,3,Sodgere,1868,3,2,131
Built-up Area,Ready to move,Kengeri Satellite Town,2,Unknown Society,883,2,1,45
Plot Area,Ready to move,Sundara Nagar,2,Unknown Society,900,2,1,110
Super built-up Area,Ready to move,Kogilu,3,Unknown Society,1664,2,3,73
Super built-up Area,Ready to move,Hegde Nagar,3,SoitaCa,2026,3,2,132
Super built-up Area,Ready to move,Balagere,2,Soestin,1210,2,1,80
Plot Area,Ready to move,Meenakunte,4,Sreat R,4111,4,2,250
Super built-up Area,Ready to move,Kadugodi,3,Alestrb,1762,3,3,91
Super built-up Area,Ready to move,Jigani,3,DLhtsen,1252,3,3,55
Built-up Area,Ready to move,Gollarapalya Hosahalli,2,Mauner,861,2,1,34
Built-up Area,Ready to move,7th Phase JP Nagar,3,Brnia G,1420,2,1,100
Plot Area,Ready to move,Srirampura,6,Unknown Society,1450,6,0,250
Built-up Area,Ready to move,Electronics City Phase 1,3,GaicaVe,1490,3,1,78
Super built-up Area,Ready to move,Bisuvanahalli,3,Unknown Society,1075,2,1,46
Super built-up Area,Ready to move,Old Madras Road,3,Saesttt,1425,2,2,94
Built-up Area,Ready to move,Kalena Agrahara,2,Nae 2El,1200,2,1,40
Super built-up Area,Ready to move,Kaggadasapura,3,Unknown Society,1280,2,2,56
Super built-up Area,Ready to move,Silver Springs Layout,2,Bhinglv,1084,2,2,50
Super built-up Area,Ready to move,Chandapura,2,SunceEs,1015,2,2,25
Super built-up Area,Ready to move,Kanakpura Road,2,GolusLi,1017,2,1,51
Super built-up Area,Ready to move,Haralur Road,2,Unknown Society,1027,2,2,44
Super built-up Area,Ready to move,Electronic City Phase II,2,Coush W,1069,2,2,45
Super built-up Area,Ready to move,Hebbal,2,Prersis,1349,2,1,98
Super built-up Area,Ready to move,9th Phase JP Nagar,2,NaensGa,1005,2,1,50
Super built-up Area,Ready to move,Jakkur,2,Arzzo P,1417,2,3,75
Plot Area,Ready to move,TC Palaya,3,Unknown Society,1475,3,1,98
Carpet Area,Ready to move,Maruthi Sevanagar,2,SMikaay,950,2,2,47
Super built-up Area,Ready to move,RMV 2nd Stage,4,Prave E,2000,4,0,120
Plot Area,Ready to move,Giri Nagar,3,Unknown Society,880,3,1,140
Super built-up Area,Ready to move,Sarjapur Road,4,Ahriaup,1863,3,2,104
Super built-up Area,Ready to move,Singasandra,2,Priewhi,1010,2,1,29
Super built-up Area,Ready to move,Kalena Agrahara,3,Shodsth,1425,2,1,70
Super built-up Area,Ready to move,Vijayanagar,3,Swadeh,1450,3,0,100
Super built-up Area,Ready to move,Kothanur,3,Somumys,1847,3,2,105
Super built-up Area,Ready to move,AECS Layout,2,Soran U,1100,2,3,45
Super built-up Area,Ready to move,Kanakpura Road,1,PrarePa,525,1,1,26
Super built-up Area,Ready to move,Mallasandra,3,Puestig,1665,3,2,95
Super built-up Area,Ready to move,Begur,4,Prntsrt,1664,4,3,65
Super built-up Area,Ready to move,JP Nagar,3,Maerar,1850,3,3,150
Super built-up Area,Ready to move,Panathur,2,Vaesh T,1438,2,3,100
Super built-up Area,Ready to move,Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,115
Super built-up Area,Ready to move,Yelahanka,2,Unknown Society,1350,2,1,55
Super built-up Area,Ready to move,Kanakpura Road,3,JRrnauv,1550,3,3,67
Super built-up Area,Ready to move,Malleshpalya,2,Unknown Society,1140,2,2,46
Plot Area,Ready to move,Srirampura,5,Unknown Society,1200,5,2,180
Super built-up Area,Ready to move,Kodathi,2,Unknown Society,850,2,2,27
Super built-up Area,Ready to move,Whitefield,2,Gotis A,1280,2,2,75
Built-up Area,Ready to move,Munnekollal,2,Unknown Society,1170,2,2,52
Super built-up Area,Ready to move,Motappa Layout,2,Puodse,1113,2,1,51
Super built-up Area,Ready to move,Hennur Road,2,Mileeou,1385,2,1,83
Super built-up Area,Ready to move,Electronic City,2,Prarkun,1128,2,1,65
Plot Area,Ready to move,Marathahalli,2,Unknown Society,1200,2,2,128
Plot Area,Ready to move,Akshaya Vana,4,Unknown Society,1200,4,3,165
Super built-up Area,Ready to move,Rajaji Nagar,3,PhestOn,2390,3,2,415
Plot Area,Ready to move,Giri Nagar,4,Unknown Society,2400,4,1,400
Super built-up Area,Ready to move,Haralur Road,3,NRowse,1464,3,2,56
Super built-up Area,Ready to move,Manayata Tech Park,2,Unknown Society,1200,2,2,55
Super built-up Area,Ready to move,Kaval Byrasandra,2,Abncy R,1200,2,2,52
Super built-up Area,Ready to move,Kaggalipura,3,Baowsig,1150,2,1,55
Built-up Area,Ready to move,Basavanna Nagar,3,Itala A,1645,3,2,95
Super built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1000,2,1,67
Plot Area,Ready to move,Haralur Road,4,Unknown Society,2650,4,2,198
Super built-up Area,Ready to move,6th Phase JP Nagar,2,HMinebo,1192,2,2,74
Super built-up Area,Ready to move,Ulsoor,3,K borja,2135,3,2,215
Super built-up Area,Ready to move,Whitefield,2,Oreldhi,1173,2,1,58
Built-up Area,Ready to move,Uttarahalli,2,Sungspr,1020,2,2,45
Super built-up Area,Ready to move,Thigalarapalya,4,Prtanha,3122,6,2,230
Super built-up Area,Ready to move,Somasundara Palya,3,Unknown Society,1600,3,3,64
Plot Area,Ready to move,T.C PALYA,2,Unknown Society,1200,2,0,79
Carpet Area,Ready to move,Muneshwara Nagar,2,Unknown Society,1230,2,3,48
Super built-up Area,Ready to move,Devarachikkanahalli,2,Clntsrt,1250,2,2,40
Super built-up Area,Ready to move,Kalena Agrahara,2,PuamaPa,1325,2,2,76
Built-up Area,Ready to move,7th Phase JP Nagar,3,Brngsal,1850,3,1,150
Super built-up Area,Ready to move,Kanakpura Road,1,PrarePa,525,Unknown Society,1,21
Super built-up Area,Ready to move,Basaveshwara Nagar,2,Unknown Society,1200,2,2,65
Plot Area,Ready to move,Bull Temple Road,3,Unknown Society,1350,2,0,140
Super built-up Area,Ready to move,Bommasandra,3,SSestth,1260,3,1,49
Super built-up Area,Ready to move,Prashanth Nagar,3,Vancy R,1800,3,0,150
Plot Area,Ready to move,Suragajakkanahalli,3,PrhyaK,11,3,2,74
Built-up Area,Ready to move,Ardendale,2,Miwel M,1100,2,1,43
Super built-up Area,Ready to move,Harlur,2,SrEndPo,1508,2,1,77
Carpet Area,Ready to move,Sampigehalli,3,Puens G,1592,3,2,75
Super built-up Area,Ready to move,Akshaya Nagar,2,SagasSa,1388,2,3,57
Super built-up Area,Ready to move,Electronic City Phase II,1,SNbay G,630,1,1,28
Plot Area,Ready to move,RMV,3,Unknown Society,2000,3,2,365
Super built-up Area,Ready to move,Banashankari3rd stage bigbazar,3,Unknown Society,1762,3,1,125
